店名,場所,経度,緯度
ローソン／労災病院前店,富山県魚津市吉島 １３３２−１,137.41064,36.82666
ローソン／砺波インター西店,富山県砺波市大辻 ７０２,136.95322,36.62661
セブン‐イレブン／立山インター店,富山県中新川郡立山町辻 ５４−１,137.33681,36.68883
セブン‐イレブン／射水一番町店,富山県射水市三ケ １４２６,137.0927,36.72603
セブン‐イレブン／高岡本郷２丁目店,富山県高岡市本郷２丁目 ３１１−１,137.00093,36.75899
ローソン／射水生源寺,富山県射水市生源寺 ８３０−２,137.06218,36.70055
セブン‐イレブン／魚津吉島２丁目店,富山県魚津市吉島２丁目 １１０８,137.41338,36.82607
セブン‐イレブン／富山牛島新町店,富山県富山市牛島新町 １−１３,137.2149,36.70426
ローソン／高岡佐野店,富山県高岡市佐野 ５１０−１,136.99051,36.71839
ローソン／上市横越店,富山県中新川郡上市町神田 ３１１,137.33434,36.69651
セブン‐イレブン入善椚山店,富山県下新川郡入善町椚山 ７６７−１,137.51714,36.93882
セブン‐イレブン／富山荏原店,富山県富山市向新庄 ２００−２８,137.26521,36.69743
ローソン／富山県立大学前店,富山県射水市中太閤山１丁目 １−２,137.09583,36.70383
セブン‐イレブン／黒部田家店,富山県黒部市田家新 ７５２,137.43904,36.85163
セブン‐イレブン／富山藤木店,富山県富山市藤木 ３０５７,137.26987,36.68603
ローソン／富山掛尾北店,富山県富山市堀川町 ３３０−１,137.21541,36.66388
セブン‐イレブン／高岡戸出狼店,富山県高岡市戸出町４丁目 １−５,136.97485,36.68656
セブン‐イレブン／富山太郎丸西町店,富山県富山市太郎丸西町２丁目 ６−１４,137.20987,36.67488
ローソン富山本郷東部店,富山県富山市本郷東部 ９２,137.15218,36.7258
ローソン／高岡駅前店,富山県高岡市御旅屋町 ６２−２,137.01584,36.74356
ローソン／富山桜町二丁目店,富山県富山市桜町２丁目 ２−２７,137.21188,36.69844
セブン‐イレブン／射水昭和通店,富山県射水市戸破昭和通り ２５９１−３,137.10263,36.71748
セブン‐イレブン／富山呉羽本町店,富山県富山市呉羽町 ２４２２−２,137.16121,36.71428
セブン‐イレブン／射水朴木口店,富山県射水市沖塚原 ７６−１,137.06926,36.75142
セブン‐イレブン／射水広上店,富山県射水市上条 ２５３,137.03378,36.71056
ファミリーマート／福光荒木店,富山県南砺市荒木 ６７１−１,136.883,36.55401
セブン‐イレブン／富山向新庄５丁目店,富山県富山市向新庄町５丁目 １−３,137.26479,36.70795
セブン‐イレブン／立山大石原店,富山県中新川郡立山町大石原 １９５,137.30154,36.66697
ファミリーマート／高岡金屋町店,富山県高岡市金屋町 １０−１,137.00468,36.75185
ローソン／富山南郵便局前店,富山県富山市堀川町 ２０９,137.22095,36.6644
セブン‐イレブン／富山水橋辻ヶ堂店,富山県富山市水橋辻ヶ堂 ２１９３−１,137.30078,36.74651
ローソン／入善町舟見店,富山県下新川郡入善町舟見 ６６６−１,137.55284,36.89177
ローソン／富山八尾中核団地店,富山県富山市八尾町上高善寺 ２６６−１,137.13664,36.60728
ファミリーマート／富山山室店,富山県富山市山室 ９−７,137.23965,36.67269
ローソン／高岡木津店,富山県高岡市木津 １３２２−１,136.99786,36.73427
セブン‐イレブン／魚津江口店,富山県魚津市吉島 ９３４−１,137.41064,36.82666
ローソン／富山日赤病院前店,富山県富山市牛島本町１丁目 １−７３,137.21045,36.70695
ローソン／富山窪本町店,富山県富山市窪本町 ２−３−１,137.22867,36.70372
ローソン／射水小島店,富山県射水市小島 １６０−２,137.05844,36.73808
セブン‐イレブン／富山上本町店,富山県富山市上本町 ３−８,137.21622,36.68694
セブン‐イレブン／砺波三島町店,富山県砺波市太郎丸１丁目 １１−２,136.95706,36.63221
ローソン／氷見鞍川店,富山県氷見市鞍川 １２７−５,136.97459,36.85775
セブン‐イレブン／富山附属学園前店,富山県富山市五艘 １４４０−１,137.19405,36.70921
セブン‐イレブン／魚津釈迦堂１丁目店,富山県魚津市釈迦堂１丁目 １２−３,137.40756,36.82552
セブン‐イレブン／高岡六家店,富山県高岡市六家 ３００５−１,136.97301,36.7345
セブン‐イレブン／氷見加納南店,富山県氷見市加納 ４２５−１,136.97141,36.86995
セブン‐イレブン／高岡能町店,富山県高岡市能町 ９４９,137.0433,36.76947
セブン‐イレブン／黒部堀切店,富山県黒部市三日市 ４０７０−１,137.4473,36.87698
ローソン／富山諏訪川原店,富山県富山市諏訪川原２丁目 ２−３,137.20592,36.69223
ローソン／高岡野村店,富山県高岡市野村 ８７２,137.03755,36.75055
善商（合同会社）,富山県下新川郡入善町入膳 ５０５０−１,137.50468,36.94036
セブン‐イレブン／富山磯部町店,富山県富山市磯部町３丁目 ９−１,137.20247,36.68564
株式会社ローソン富山支店,富山県富山市石金１丁目 １２−３５,137.23422,36.68824
ローソン／水橋中村町店,富山県富山市水橋中村町 １２１−８,137.30756,36.75554
ファミリーマート／富山向新庄店,富山県富山市向新庄町６丁目 ９−３１,137.26411,36.70311
セブン‐イレブン富山朝日町月山店,富山県下新川郡朝日町月山 ４８−５,137.5432,36.9467
デイリーヤマザキ／富山磯部町店,富山県富山市磯部町３丁目 ２−６,137.20248,36.68666
ファミリーマート／富山根塚町店,富山県富山市根塚町４丁目 ４−３,137.2067,36.67276
ローソン／新川文化ホール前店,富山県魚津市慶野 ２４５−１,137.40533,36.801
ローソン／砺波久泉店,富山県砺波市久泉 １３４−３,136.99135,36.63567
セブン‐イレブン／高岡広小路店,富山県高岡市あわら町 １０９−２,137.02223,36.75643
ローソン／高岡美幸町店,富山県高岡市美幸町２丁目 １−１６,136.99791,36.75451
ファミリーマート／魚津新角川店,富山県魚津市新角川２丁目 ５−３,137.39835,36.81222
株式会社大杉,富山県射水市二口 １０７１−１,137.04909,36.72405
セブン‐イレブン／滑川上島店,富山県滑川市上島 ２２２−３,137.34328,36.75252
ローソン／富山布目店,富山県富山市布目 ２３８４−１,137.18912,36.74451
セブン‐イレブン／滑川中村店,富山県滑川市中村 ３０３−１,137.38234,36.78927
有限会社くまがい,富山県射水市西新湊 １２−８,137.07733,36.7812
ポプラ上市森尻店,富山県中新川郡上市町森尻 １２１,137.36029,36.71819
セブン‐イレブン／小矢部市役所前店,富山県小矢部市本町 １２２４,136.86763,36.67355
ローソン／入善上飯野店,富山県下新川郡入善町上飯野 ４０２−１,137.47139,36.90885
ファミリーマート／黒部生地店,富山県黒部市生地神区 ３９２−１,137.42497,36.8874
ローソン／滑川インター店,富山県滑川市栃山 １５７２,137.37315,36.7485
セブン‐イレブン／富山赤田店,富山県富山市赤田 ９４１−１,137.21074,36.65749
ファミリーマート／魚津住吉店,富山県魚津市住吉 １６０２−８,137.39758,36.8032
ファミリーマート入善高校前店,富山県下新川郡入善町入膳 ３８８１−１,137.50394,36.93519
セブン‐イレブン／富山月岡６丁目店,富山県富山市月岡町６丁目 ７１１−２,137.24342,36.63467
セブン‐イレブン／黒部三日市店,富山県黒部市新牧野 ２０１,137.44659,36.86817
ファミリーマート／立山大清水店,富山県中新川郡立山町大清水 ５１７,137.29874,36.64832
ファミリーマート／上市女川店,富山県中新川郡上市町女川 １８−１,137.35791,36.68185
ローソン／富山桜橋通り店,富山県富山市桜橋通り ４−３２,137.21542,36.69683
ローソン／富山ひらき店,富山県富山市開 ５７０−１,137.26382,36.68316
ファミリーマート／射水橋下条店,富山県射水市橋下条 ５０８−１,137.08099,36.70538
セブン‐イレブン／射水小杉インター店,富山県射水市橋下条 １３−１,137.08099,36.70538
セブン‐イレブン／富山堀川本郷店,富山県富山市 堀１５−１２,137.22856,36.65605
ローソン／福野寺家店,富山県南砺市寺家 ２６５−１,136.91435,36.58432
ホットスパー氷見加納店,富山県氷見市加納 ４３３−１,136.97585,36.8632
ファミリーマート／滑川中川原店,富山県滑川市中川原 ２９５−１,137.34726,36.77348
ファミリーマート／砺波新富町店,富山県砺波市新富町 ５−３９,136.9472,36.63992
デイリーヤマザキ氷見阿尾店,富山県氷見市阿尾 ３４０１−１,136.99649,36.88615
ファミリーマート／魚津北鬼江店,富山県魚津市北鬼江２丁目 １５−２４,137.40343,36.82997
ローソン／小杉インター店,富山県射水市上野 ４０２−２,137.07768,36.69513
ローソン／富山インター西店,富山県富山市黒瀬 ３０６−１,137.20331,36.65618
ローソン／小矢部桜町店,富山県小矢部市桜町 １６４４−１,136.87518,36.68757
ファミリーマート／新根塚町二丁目店,富山県富山市新根塚町２丁目 １−１,137.20258,36.67916
セブン‐イレブン／射水ひばり元町店,富山県射水市戸破元町 １６７３−１,137.10263,36.71748
ローソン／富山若竹店,富山県富山市吉岡 ４１９,137.23216,36.63138
セブン‐イレブン／富山地角店,富山県富山市婦中町地角 ３９４,137.16951,36.63403
ファミリーマート／富山千代田町店,富山県富山市千代田町 ８−３６,137.22223,36.71673
ヤマザキショップ小矢部片山店,富山県小矢部市新富町 １−５,136.86929,36.67649
ローソン／富山石金店,富山県富山市石金１丁目 １２−３５,137.23422,36.68824
ファミリーマート／大沢野笹津店,富山県富山市笹津 １２６−１,137.2135,36.56261
セブン‐イレブン／高岡東海老坂店,富山県高岡市東海老坂 ４６５,137.00194,36.78383
ローソン／大沢野下大久保店,富山県富山市下大久保 １１７８−１,137.20901,36.61304
セブン‐イレブン／高岡城東店,富山県高岡市中川園町 ７−１５５−２,137.03177,36.74905
ファミリーマート／富山豊田本町店,富山県富山市豊田本町１丁目 ６−３５,137.237,36.7287
ファミリーマート／黒部インター口店,富山県黒部市荻生 ４４０６−１,137.47362,36.88205
ファミリーマート／砺波秋元店,富山県砺波市秋元 １９２−１,136.99278,36.64937
セブン‐イレブン／富山中市店,富山県富山市中市１丁目 ３−２,137.23663,36.68313
ローソン／氷見インター店,富山県氷見市大野 １２８９−１,136.96109,36.85963
ファミリーマート／新湊高木店,富山県射水市高木 ２３１−１,137.08432,36.74337
ファミリーマート／黒部飯沢店,富山県黒部市飯沢 １７３−１,137.42532,36.89692
ローソン／富山金泉寺店,富山県富山市金泉寺 ２５１,137.26389,36.72268
ローソン／富山上冨居店,富山県富山市上冨居１丁目 ７−１７,137.24408,36.70409
ファミリーマート／富山羽根店,富山県富山市羽根 ５１９−２,137.18535,36.68276
ローソン／氷見窪西店,富山県氷見市窪 ６２４−１,136.98749,36.83662
ファミリーマート／黒部生地漁港前店,富山県黒部市飯沢 ７３１−１,137.42532,36.89692
セブン‐イレブン／富山西荒屋店,富山県富山市西荒屋 ４８２−１,137.19643,36.65135
ファミリーマート／魚津シーサイド店,富山県魚津市港町 ９−８,137.39503,36.82177
ファミリーマート／氷見上泉店,富山県氷見市上泉 ４７８−１,136.99586,36.82013
セブン‐イレブン／富山城川原３丁目店,富山県富山市城川原３丁目 ４−２３,137.22542,36.72996
セブン‐イレブン／富山上二杉店,富山県富山市上二杉 ３９８,137.19875,36.59198
ローソン／富山下堀店,富山県富山市下堀 ７−１,137.22742,36.65499
ファミリーマート／富山上赤江店,富山県富山市上赤江町２丁目 ９−３６,137.23161,36.71048
ローソン／富山長江店,富山県富山市長江東町２丁目 ８８９−１,137.24739,36.68895
ファミリーマート／射水大島店,富山県射水市小島 ５０１−７,137.06454,36.73615
ローソン／富山新根塚町１丁目店,富山県富山市新根塚町１丁目 ８０７−１,137.20235,36.68024
デイリーヤマザキ／富山県庁前店,富山県富山市安住町 ７−４,137.20949,36.69579
ファミリーマート／富山八尾福島店,富山県富山市八尾町福島 ４５９,137.14134,36.59203
セブン‐イレブン／高岡赤祖父店,富山県高岡市赤祖父 ７５４,137.01923,36.72679
ファミリーマート／富山本郷店,富山県富山市本郷町 １２７−１,137.23195,36.65909
セブン‐イレブン／富山八尾井田店,富山県富山市八尾町井田 ５５１６−１,137.14853,36.5974
ファミリーマート／砺波苗加店,富山県砺波市苗加 ６０３−１,136.94075,36.61921
ファミリーマート／砺波東石丸店,富山県砺波市東石丸 ７４−１,136.98123,36.65826
デイリーヤマザキ城端ＳＡ店,富山県南砺市立野原東 １２０１,136.88071,36.50656
ローソン／富山八尾店酒の吉田,富山県富山市八尾町黒田 ５３１８,137.15863,36.60947
セブン‐イレブン／富山二口町４丁目店,富山県富山市二口町４丁目 ４−８,137.20636,36.66814
ファミリーマート／富山中央市場店,富山県富山市掛尾町 ３８２−１,137.20567,36.66582
ローソン／富山婦中新町店,富山県富山市婦中町新町 ２１４,137.12164,36.65974
ローソン／高岡江尻店,富山県高岡市江尻 １１−３,137.03481,36.76469
ローソン／富山中屋店,富山県富山市中屋 ２９７−１,137.25629,36.64201
ローソン／富山西公文名店,富山県富山市西公文名 ７−２８,137.23006,36.67879
ローソン／射水高木店,富山県射水市高木 ２８１−１,137.08575,36.74088
ローソン／城端野田店,富山県南砺市野田 ５１−１,136.89883,36.51735
ローソン／富山田中町店,富山県富山市田中町１丁目 ３−２２,137.24309,36.70154
セブン‐イレブン／砺波苗加店,富山県砺波市苗加 ９６８−１,136.94075,36.61921
ファミリーマート／富山黒瀬北町店,富山県富山市黒瀬北町２丁目 １０−３,137.202,36.66559
ファミリーマート／富山中田店,富山県富山市中田１丁目 １１−１３,137.24496,36.7455
ファミリーマート／射水本田店,富山県射水市本田 ４２９−１,137.07407,36.72076
ファミリーマート／南砺井波店,富山県南砺市井波 ８８５−１５,136.97621,36.56895
セブン‐イレブン／富山中田１丁目店,富山県富山市中田１丁目 ８２−４,137.24443,36.74563
ローソン／富山赤田南店,富山県富山市赤田 ８６３−１,137.21355,36.65314
セブン‐イレブン／高岡下麻生店,富山県高岡市下麻生 ３０３−１,137.02066,36.68695
ファミリーマート／富山金代店,富山県富山市金代 ２４−１,137.26025,36.68969
ローソン／高岡清水町店,富山県高岡市清水町１丁目 １４４−１,137.00417,36.74086
ファミリーマート／砺波豊町店,富山県砺波市豊町１丁目 ２−２,136.95354,36.63311
セブン‐イレブン／富山上大久保店,富山県富山市上大久保 ４８６−１,137.20769,36.59808
Ｙショップヨツクラ,富山県高岡市城東２丁目 １−５,137.02946,36.74504
ファミリーマート／富山才覚寺店,富山県富山市才覚寺 １２９−１,137.19481,36.65452
Ｙショップ新湊中央店,富山県射水市中央町 ２４−１５,137.08615,36.77734
ローソン／立山坂井沢店,富山県中新川郡立山町坂井沢 ２４,137.31851,36.65274
セブン‐イレブン／富山古里小学校前店,富山県富山市婦中町下邑 １６,137.13617,36.66308
ファミリーマート／富山下熊野店,富山県富山市下熊野 １９１−１１,137.21008,36.63246
セブン‐イレブン舟橋竹内店,富山県中新川郡舟橋村竹内 ５２０−１,137.30518,36.70746
ファミリーマート／高岡戸出市野瀬店,富山県高岡市戸出市野瀬 ５６４,136.98102,36.69289
ローソン／富山空港前店,富山県富山市秋ケ島 ９３,137.19409,36.64367
ローソン／高岡熊野町店,富山県高岡市熊野町 １３０−４,137.01779,36.76165
ローソン／富山大学西門前店,富山県富山市五福 ３３４１−２,137.18663,36.70143
セブン‐イレブン／魚津インター店,富山県魚津市本江 ５４２−８,137.40791,36.81646
セブン‐イレブン／氷見インター店,富山県氷見市大野 １２５０−１,136.95312,36.8605
ファミリーマート／高岡問屋町店,富山県高岡市問屋町 １０５,137.02856,36.72875
ローソン／富山大泉本町二丁目店,富山県富山市大泉本町２丁目 ５−３,137.22679,36.67825
セブン‐イレブン／富山上飯野店,富山県富山市上飯野 ３４−３,137.25238,36.71245
ローソン／富山城南公園前店,富山県富山市太郎丸本町１丁目 １−１,137.21202,36.67837
ローソン／高岡長慶寺店,富山県高岡市長慶寺 ５１５−１,137.00188,36.76654
セブン‐イレブン／富山堀川町店,富山県富山市堀川町 ４５０,137.22194,36.66275
ローソン／魚津上村木店,富山県魚津市上村木１丁目 ７０１,137.40926,36.82363
ファミリーマート／富山上二杉店,富山県富山市上大久保 １０４１−１,137.20425,36.59024
ローソン／氷見比美町店,富山県氷見市比美町 ３−５,136.98734,36.85711
セブン‐イレブン／富山安野屋店,富山県富山市安野屋町２丁目 ５−１４,137.20352,36.69205
ファミリーマート／射水黒河店,富山県射水市中老田新 ６２５,137.11617,36.70224
ローソン／高岡六家店,富山県高岡市六家 １７１１−１,136.97737,36.73812
セブン‐イレブン／射水八塚店,富山県射水市八塚 ２６６−３,137.05688,36.72915
ファミリーマート／富山中川原店,富山県富山市中川原 ４４−４,137.24623,36.67559
ファミリーマート／伏木古府店,富山県高岡市伏木古府２丁目 １５２−６,137.05269,36.79065
ローソン／滑川ＩＣ東店,富山県滑川市改養寺 １９３−２,137.38374,36.74363
セブン‐イレブン／クルン高岡店,富山県高岡市下関町 ６−１,137.01532,36.74026
ローソン／朝日町平柳店,富山県下新川郡朝日町平柳 ２６−１,137.55893,36.94818
ファミリーマート／南砺宗守店,富山県南砺市宗守 ２９４−１,136.90768,36.55673
ファミリーマート／富山茶屋町店,富山県富山市茶屋町 ６０２−２,137.17426,36.70918
ローソン／富山月岡店,富山県富山市上千俵町 ７８３,137.25281,36.6187
セブン‐イレブン／高岡中曽根店,富山県高岡市中曽根 ２２４１,137.07559,36.76846
ファミリーマート／上市駅前店,富山県中新川郡上市町法音寺 ４４−１,137.3602,36.69892
ファミリーマート／黒部植木店,富山県黒部市植木 ５１０−１,137.45224,36.88341
ローソン／高岡伏木古府店,富山県高岡市伏木古府１丁目 ２−３,137.05327,36.78925
ホスピタルローソン富山大学附属病院店,富山県富山市杉谷 ２６３０,137.14232,36.68
ファミリーマート／福光バイパス店,富山県南砺市福光 ３７３−１,136.86812,36.5631
ローソン／富山西総合病院店,富山県富山市婦中町下轡田 １０１９,137.17673,36.66308
ファミリーマート／富山綾田町店,富山県富山市綾田町１丁目 ４９−１,137.23785,36.70302
セブン‐イレブン／富山北代店,富山県富山市北代 ４８１１−１,137.1813,36.7193
ファミリーマート／高岡清水町店,富山県高岡市清水町３丁目 ６−３２,137.006,36.7373
ローソン／立山日俣店,富山県中新川郡立山町日俣 ２４−１,137.30466,36.64991
ファミリーマート／高岡三女子店,富山県高岡市蓮花寺 ７３８−１,137.03934,36.74272
ファミリーマート／高岡本丸町店,富山県高岡市本丸町 ８−６,137.02002,36.75143
ファミリーマート／小矢部埴生北店,富山県小矢部市埴生 ３９２,136.85089,36.66515
ファミリーマート／大島町北野店,富山県射水市大島北野 ７９−２,137.05037,36.74128
セブン‐イレブン／射水ひばり店,富山県射水市戸破 １０１１−１,137.10263,36.71748
ローソン／高岡姫野店,富山県高岡市姫野 ５６９−１,137.08569,36.76993
ファミリーマート／上市上経田店,富山県中新川郡上市町上経田１丁目 ３,137.34109,36.70594
ファミリーマート／高岡はおか店,富山県高岡市波岡 ３１８−４,136.98975,36.75538
セブン‐イレブン／高岡内免３丁目店,富山県高岡市内免３丁目 ５０２−１,137.00938,36.75835
ローソン／富山安田店,富山県富山市婦中町安田 ８４,137.16159,36.6808
ファミリーマート／小矢部芹川店,富山県小矢部市芹川 １５８−１,136.89452,36.68462
Ｙショップ大門店,富山県射水市二口 １０７１−１,137.04909,36.72405
セブン‐イレブン／富山小倉店,富山県富山市婦中町小倉 １３３３,137.13435,36.62909
ファミリーマート／富山四方店,富山県富山市四方 ２８６−１,137.19522,36.75491
セブン‐イレブン／富山インター南店,富山県富山市黒崎 １１４−１,137.20612,36.65331
ローソン／新湊新片町店,富山県射水市新片町２丁目 ９−４,137.11427,36.7583
ローソン／富山新保店,富山県富山市新保 ６６９−１,137.19193,36.63604
セブン‐イレブン／高岡米島店,富山県高岡市米島 ４５２−１,137.03842,36.77425
ローソン／大沢野塩店,富山県富山市塩 ５６６,137.19267,36.59878
ファミリーマート／高岡大坪店,富山県高岡市大坪町１丁目 ２５７,137.01813,36.75376
ローソン／婦中鵜坂店,富山県富山市婦中町鵜坂 １５２,137.18951,36.67401
ローソン／富山田尻店,富山県富山市田尻西 １１９−２,137.20367,36.73675
ローソン／富山駅北口店,富山県富山市牛島町 ２４−１３,137.2135,36.70277
セブン‐イレブン／富山滑川早月店,富山県滑川市大掛 １７６−２６,137.39566,36.7756
ローソン／砺波太郎丸店,富山県砺波市鍋島 ８６,136.96268,36.63453
ローソン／水墨美術館前店,富山県富山市五福 １区７５０−５,137.19107,36.70311
ファミリーマート／射水大門店,富山県射水市大門 １６７−２,137.04779,36.73358
ファミリーマート／富山石坂店,富山県富山市石坂 ２４９４−１,137.20235,36.71465
ファミリーマート／砺波市役所前店,富山県砺波市栄町 ６−３５,136.96127,36.64757
デイリーヤマザキ／越中境パーキングエリア下り店,富山県下新川郡朝日町境 馬場山１０２,137.62267,36.97582
セブン‐イレブン／高岡野村北店,富山県高岡市野村 １５９７−１,137.04108,36.74763
ファミリーマート／高岡醍醐店,富山県高岡市醍醐 １３１９−１,136.96381,36.68611
セブン‐イレブン／富山下冨居店,富山県富山市豊田町１丁目 ４−４５,137.23389,36.71965
セブン‐イレブン／氷見加納店,富山県氷見市加納 ２０６−１,136.97141,36.86995
ローソン／富山城川原店,富山県富山市上野新町 ４７６,137.22496,36.73663
セブン‐イレブン／立山あるぺん村店,富山県中新川郡立山町東中野新 １２６,137.32773,36.59527
セブン‐イレブン／砺波中神店,富山県砺波市中神３丁目 １１７,136.94479,36.64241
ファミリーマート／富山稲荷町店,富山県富山市稲荷町３丁目 ７−２４,137.23126,36.69453
セブン‐イレブン／富山城址公園前店,富山県富山市総曲輪２丁目 １−１,137.21291,36.69175
ファミリーマート／富山千歳町店,富山県富山市千歳町１丁目 ６−１５,137.21773,36.69712
ローソン／富山芝園町店,富山県富山市舟橋南町 １−１,137.20526,36.69473
セブン‐イレブン／立山五郎丸店,富山県中新川郡立山町五郎丸 ７,137.30167,36.68479
ファミリーマート／高岡戸出光明寺店,富山県高岡市戸出古戸出 ３６−３,136.97523,36.67536
ファミリーマート／高岡駅南一丁目店,富山県高岡市駅南１丁目 １１１８,137.01894,36.73945
ローソン／富山婦中町店,富山県富山市婦中町小長沢 ２７１６,137.13544,36.66253
セブン‐イレブン／射水太閤山東店,富山県射水市黒河新 ４９５１−５,137.10492,36.70548
ファミリーマート／射水海老江店,富山県射水市海老江練合 １６６,137.16264,36.7616
セブン‐イレブン／南砺二日町店,富山県南砺市二日町 １６００−１,136.92317,36.59556
セブン‐イレブン／富山本郷町店,富山県富山市本郷町 ４６−１,137.23291,36.66354
セブン‐イレブン／富山中川原店,富山県富山市中川原台２丁目 ２８,137.25316,36.67548
ファミリーマート／市立富山市民病院店,富山県富山市今泉北部町 ２−１,137.21252,36.67257
うずや,富山県滑川市高月町 ３８６−４,137.32439,36.75891
ローソン／婦中田島店,富山県富山市婦中町田島 ６１５,137.17247,36.67404
ファミリーマート／富山新庄本町店,富山県富山市新庄本町１丁目 ２−３２,137.259,36.70903
ローソン／富山豊田店,富山県富山市豊田本町４丁目 ８−１,137.23863,36.72834
ファミリーマート／富山東町店,富山県富山市東町２丁目 ４−１３,137.22649,36.69168
ファミリーマート／大山町田畠店,富山県富山市田畠 １８９−２,137.27202,36.61654
セブン‐イレブン／高岡駅南４丁目店,富山県高岡市駅南４丁目 １０−２９,137.01396,36.73855
ファミリーマート／小矢部蓑輪店,富山県小矢部市蓑輪 ３０４−１,136.88503,36.62083
ファミリーマート／射水片口店,富山県射水市片口高場 １１４−３,137.11804,36.75004
ファミリーマート／富山新屋北店,富山県富山市新屋 ２３−１,137.24536,36.71981
ローソン／高岡国吉店,富山県高岡市国吉 ７７２,136.96829,36.7538
ファミリーマート／高岡中川栄町店,富山県高岡市中川栄町 １０２０−１,137.02605,36.74438
セブン‐イレブン／砺波インター店,富山県砺波市太郎丸 ６７２３,136.96207,36.62716
ローソン／庄川天正店,富山県砺波市庄川町天正 １３６,136.96547,36.59072
デイリーヤマザキ高岡野村店,富山県高岡市野村 ３３−１,137.0282,36.73831
ファミリーマート／富山秋吉店,富山県富山市秋吉 １３−２−３,137.2469,36.68192
セブン‐イレブン／富山水橋市田袋店,富山県富山市水橋市田袋 ２６０−３,137.28603,36.72981
セブン‐イレブン／高岡下老子店,富山県高岡市福岡町下老子 ７２０,136.94612,36.707
ファミリーマート／射水作道店,富山県射水市作道 ３６５−２,137.09309,36.75434
ファミリーマート／魚津北鬼江西店,富山県魚津市北中 ４２４−４,137.4054,36.83336
ローソン／富山寺町店,富山県富山市寺町 １０−４,137.17247,36.69468
ファミリーマート／小矢部アウトレットパーク店,富山県小矢部市西中野 ９７２−１,136.88065,36.68625
セブン‐イレブン／富山窪新町店,富山県富山市窪新町 ６−４８,137.23012,36.70657
ローソン／黒部インター東店,富山県黒部市若栗 ３５８２,137.48924,36.87537
セブン‐イレブン／富山城南公園前店,富山県富山市太郎丸本町１丁目 ３−１２,137.2137,36.67874
ローソン／小杉駅前店,富山県射水市三ケ ４０４３−１,137.09132,36.72164
ローソン／富山草島中央店,富山県富山市草島 ２３５−１１１,137.21075,36.74458
セブン‐イレブン／南砺角田店,富山県南砺市吉江中 ７１０−１,136.89255,36.56904
ファミリーマート／富山西インター店,富山県富山市池多 １４２８,137.10097,36.66053
ファミリーマート／黒部立野東店,富山県黒部市立野 １６５−１,137.42255,36.8772
ファミリーマート／富山八尾町店,富山県富山市八尾町妙川寺 ２１−１,137.13397,36.5934
セブン‐イレブン／富山町村１丁目店,富山県富山市町村１丁目 ３３５,137.25476,36.6832
ファミリーマート／射水白銀町店,富山県射水市三ケ ８１０,137.0927,36.72603
セブン‐イレブン／富山西大沢店,富山県富山市西大沢 ２７６−１,137.20532,36.57066
ローソン／高岡中新湊口店,富山県高岡市姫野 ４０７−１,137.0871,36.77386
ファミリーマート／高岡卸売市場前店,富山県高岡市下黒田 ８０３−１,137.00464,36.72756
ローソン／小杉東太閤山店,富山県射水市東太閤山３丁目 ９０,137.1188,36.69875
ファミリーマート／婦中ファボーレ前店,富山県富山市婦中町下轡田 ３４９−１,137.17506,36.66123
セブン‐イレブン／富山豊田本町１丁目店,富山県富山市豊田本町１丁目 ９−３,137.23578,36.72855
ファミリーマート／滑川田中町店,富山県滑川市田中町 １６−２,137.33806,36.76181
セブン‐イレブン／富山公文名店,富山県富山市公文名 ３６−２,137.23782,36.67377
デイリーヤマザキ／富山千石町店,富山県富山市千石町２丁目 ９−３,137.20827,36.68668
ローソン／富山新庄銀座店,富山県富山市新庄銀座３丁目 ５−５８,137.25911,36.7126
ローソン／新湊本町店,富山県射水市本町１丁目 １８７−１,137.07693,36.7837
セブン‐イレブン／富山つばめ野店,富山県富山市つばめ野１丁目 ４０,137.19084,36.75044
ローソン／富山駅前店,富山県富山市桜町２丁目 １−１,137.21239,36.69927
ローソン／高岡羽広店,富山県高岡市羽広２丁目 ２−４,136.99178,36.74133
ファミリーマート／高岡末広町店,富山県高岡市末広町 ３−２０,137.01262,36.74239
ファミリーマート／南砺福野店,富山県南砺市焼野 ４９,136.93825,36.58076
セブン‐イレブン／富山速星店,富山県富山市婦中町速星 ７８−１,137.16739,36.65924
セブン‐イレブン／氷見窪店,富山県氷見市窪 １１１９−１,136.99242,36.83532
みずはた酒店,富山県富山市湊入船町 １２−１８,137.21519,36.70552
Ｙショップ境店,富山県下新川郡朝日町境 １７７,137.62267,36.97582
セブン‐イレブン／富山笹倉店,富山県富山市婦中町笹倉 ９９−１,137.15572,36.66591
ファミリーマート／入善下上野店,富山県下新川郡入善町上野 ８３７−１,137.49249,36.93623
ファミリーマート／高岡戸出店,富山県高岡市戸出町５丁目 ３−６,136.96887,36.68531
ファミリーマート／富山鍋田店,富山県富山市鍋田 １８−１５,137.2467,36.71527
ファミリーマート／小杉一条店,富山県射水市一条 １−２,137.08679,36.71483
ファミリーマート／入善くぬぎ山店,富山県下新川郡入善町椚山 １２１３,137.51472,36.94121
ローソン／新湊津幡江店,富山県射水市津幡江 １４４,137.10313,36.74483
ローソン／高岡駅北口店,富山県高岡市下関町 ４−５５,137.01683,36.74104
セブン‐イレブン／富山下くつわだ店,富山県富山市婦中町下轡田 ６８２,137.17673,36.66308
